Date Saved,2017/11/11 13:09:16
Title,LED-White_02_4015K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],4015
⊿uv,0.0004
Illuminance [lx],10600

Reference CCT [K],6500
LB Index [MK⁻¹],-95
LB Camera Filter,80C, 82A
LB Lighting Filter,L202 1/2 CTB, L218 1/8 CTB
CC Index,0.1M
CC Camera Filter,CC025G
CC Lighting Filter,-----
CRI Ra,82.0
CRI R1,80.0
CRI R2,88.9
CRI R3,94.6
CRI R4,79.6
CRI R5,79.8
CRI R6,83.9
CRI R7,85.8
CRI R8,63.7
CRI R9,6.7
CRI R10,72.7
CRI R11,77.0
CRI R12,61.6
CRI R13,82.1
CRI R14,97.1
CRI R15,74.3
